Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Love Happens,2009,"18, 10749","Dr. Burke Ryan is a successful self-help author and motivational speaker with a secret. While he helps thousands of people cope with tragedy and personal loss, he secretly is unable to overcome the death of his late wife. It's not until Burke meets a fiercely independent florist named Eloise that he is forced to face his past and overcome his demons.",en,https://image.tmdb.org/t/p/w500/ijRJlhAZ7QMkTIVAUkIY8stWfk1.jpg,5.846,Brandon Camp,"Stuber Pictures, Universal Pictures, Relativity Media, Camp / Thompson Pictures, Focus Features",
Bride Wars,2009,"35, 10749",Two best friends become rivals when their respective weddings are accidentally booked for the same day.,en,https://image.tmdb.org/t/p/w500/eyXT8tmUoyHrg7YX1UVjmecHCWP.jpg,6.238,Gary Winick,"Fox 2000 Pictures, Regency Enterprises, New Regency Pictures, Birdie Productions, Dune Entertainment, Dune Entertainment III",
Life Is Hot in Cracktown,2009,18,"Various stories of how crack cocaine has infiltrated the inner-city streets. Based on Buddy Giovinazzo's novel ""Life is Hot in Cracktown"".",en,https://image.tmdb.org/t/p/w500/zppNLGxL0ttNhcd36wBXb4JQbYA.jpg,6,Buddy Giovinazzo,"Lodestar Entertainment, Karmic Productions",
The Harimaya Bridge,2009,18,"The Harimaya Bridge is a drama about an American man who must travel to rural Japan to claim some important items belonging to his late son, from whom he was estranged. While there, he learns several secrets his son left behind.",ja,https://image.tmdb.org/t/p/w500/n2Ggm0NHkrxSN6QDrGNb4KRADnc.jpg,5.4,Aaron Woolfolk,"Eleven Arts Studios, LATERNA, Toei Video Company, Booster Project",
Hooking Up,2009,"35, 18","After ""hooking up"" with a series of guys at a house party, April is the talk of her high school.",en,https://image.tmdb.org/t/p/w500/xEcnt3MJTyGRxkKFP3nxgBPafMS.jpg,3.1,Vincent Scordia,"Shoreline Entertainment, Morbid Mind Productions, Entropy Entertainment, Bipolar Films",
St. George Shoots the Dragon,2009,"18, 10752","Love triangle story between the village gendarme Đorđe, his wife Katarina and the young disabled war veteran Gavrilo during the time between First Balkan War and World War I.",sr,https://image.tmdb.org/t/p/w500/yyWTQSxnEOxfFlDRl6o8KVunI96.jpg,6.3,Srđan Dragojević,"Camera, Delirium, RTS",
Frequently Asked Questions About Time Travel,2009,"35, 18, 10749, 878",Follows three social outcasts -- two geeks and a cynic -- as they attempt to navigate a time-travel conundrum in the middle of a British pub.,en,https://image.tmdb.org/t/p/w500/r67KzlHkdiwe3fBWzImEkNOg1Y.jpg,6.9,Gareth Carrivick,"BBC Film, Dog Lamp Films, HBO Films",
Generic Thriller,2009,,"The writer can do anything he wants, right? Or maybe not...as Steven, a handsome young theater history professor discovers when he sets out to write a stage thriller - a plain, old generic thriller - only to discover that his characters prefer a character study - and want it to be a movie, not a play. At least Steven can create the man of his dreams, right? But that character - Vertigo - named after Steven's sixth grade teacher Mr. Vertigo (Steven always dates men named Vertigo) - isn't really cooperating. Will Steven ever finish his play? Will Vertigo behave (or rather, misbehave) as Steven wishes? And what about the friends on whom Steven is basing his other characters - will they still be his friends when it's all over?",en,https://image.tmdb.org/t/p/w500/eaNEGalWaQoyzTV3oJ53FRgxskq.jpg,1.8,Scott Sublett,,
In the Electric Mist,2009,"53, 18, 80, 9648","Lt. Dave Robicheaux, a detective in New Iberia, Louisiana, is trying to link the murder of a local hooker to New Orleans mobster Julie (Baby Feet) Balboni, who is co-producer of a Civil War film. At the same time, after Elrod Sykes, the star of the film, reports finding another corpse in the Atchafalaya Swamp near the movie set, Robicheaux starts another investigation, believing the corpse to be the remains of a black man who he saw being murdered 35 years before.",en,https://image.tmdb.org/t/p/w500/gsyUJovik2t5vzPyXL5tq5VWLym.jpg,6.066,Bertrand Tavernier,"Little Bear, Ithaca Pictures",
Armored,2009,"28, 80, 18, 53, 9648","A crew of officers at an armored transport security firm risk their lives when they embark on the ultimate heist against their own company. Armed with a seemingly fool-proof plan, the men plan on making off with a fortune with harm to none. But when an unexpected witness interferes, the plan quickly unravels and all bets are off.",en,https://image.tmdb.org/t/p/w500/oQrAXGkBy84FyGpWrY71ptqs7zD.jpg,5.7,Nimród Antal,"Screen Gems, Stars Road Entertainment, Farah Films & Management, Buckaroo Entertainment",
Armee der Stille - La Isla Bonita,2009,53,"Somewhere in the middle of nowhere: after a wild party, seven people take part in a high-risk game. A well-known media mogul becomes their host, but then turns into a cynic. In the end, the seven people realize that the game only took part in their heads...",de,https://image.tmdb.org/t/p/w500/vorjMg0Nba1jpmWV4TZ5n8fKB7e.jpg,10,Roland Lang,,
The Marc Pease Experience,2009,"35, 18","Former high school musical star, Marc Pease, finds himself still living in the past, eight years after graduating.",en,https://image.tmdb.org/t/p/w500/A6HMlmkZ9v71JZT2wTs59gDtmkz.jpg,4.6,Todd Louiso,Paramount Vantage,
Broken Embraces,2009,"18, 10749, 53","Harry Caine, a blind writer, reaches this moment in time when he has to heal his wounds from 14 years back. He was then still known by his real name, Mateo Blanco, and directing his last movie.",es,https://image.tmdb.org/t/p/w500/uPTOKnc9bzPp1emH3TyuKOGIylQ.jpg,7.1,Pedro Almodóvar,El Deseo,
44 Inch Chest,2009,"18, 80","Colin is in agony, shattered by his wife’s infidelity, so his friends kidnap the wife's lover so he can have his revenge.",en,https://image.tmdb.org/t/p/w500/vKuW2TzCyNstKcAGnWLXsFJxmjM.jpg,5.5,Malcolm Venville,"Omni Films, Prescience Media, Twilight Production & Entertainment, Passenger, Anonymous Content, IM Global",
Tootie's Last Suit,N/A,99,"Documentary portrait of Tootie Montana, Mardis Gras Indian chief.",en,N/A,7,Lisa Katzman,,
I Do... I Did!,2009,"35, 10749","Marcus finds himself in love and married to not one woman, but two.",en,https://image.tmdb.org/t/p/w500/of2K9JRmE7gQPFFEiopT8ijVDnz.jpg,2.8,J. Jesses Smith,,
The Inner Circle,2009,18,"While attending an all-girls boarding school in New England in the 1960s, five nonconformist students (Lauren Storm, Haley Hudson, Sarah Aldrich, Brooke Lyons and B.K. Cannon) develop an uncommon bond by uncovering a stunning, life-altering secret -- and by standing up to authority. Mariette Hartley, Charlotte Stewart and Lynda Scarlino co-star in this compelling coming-of-age tale from director Camille Poisson.",en,https://image.tmdb.org/t/p/w500/6gJ8o85TziJQ0L9sgHH6OuXYQUU.jpg,3,Camille Poisson,Shoot Productions,
Zara,2009,18,"A film about the state of people who are forced to live their exile as an outer event, but also as an inner destiny. That condition involves several time levels: a lost past, a disturbed present and a future rimmed with hope. In the village of Zara wandering souls are searching for things lost: letters, childhood, parents… Zara lies at the heart of an eternal search for a place of consolation and respite a search, during which memories and dreams gradually merge into an imagined present. (swissfilms.ch)",de,https://image.tmdb.org/t/p/w500/i5ZWoLZFdsuu21qaNYtoG2uBaAB.jpg,0,Ayten Mutlu Saray,,
Crossing Over,2009,"80, 18","Immigrants from around the world enter Los Angeles every day, with hopeful visions of a better life, but little notion of what that life may cost. Their desperate scenarios test the humanity of immigration enforcement officers. In Crossing Over, writer-director Wayne Kramer explores the allure of the American dream, and the reality that immigrants find – and create -- in 21st century L.A.",en,https://image.tmdb.org/t/p/w500/6A4WdvbWHJoIN4Y9Q5HXG8R1VYV.jpg,6.1,Wayne Kramer,"Movie Prose, C.O. Films, The Kennedy/Marshall Company, The Weinstein Company",
Dogging: A Love Story,2009,"18, 35, 10749","An aspiring Gordie journalist drops his inhibitions to research the UK's North East outdoor sex scene. He meets a certain girl in a car park, and the totally unexpected happens.",en,https://image.tmdb.org/t/p/w500/qdcH6JyfQi36NWa0kx6Be3asyki.jpg,4.3,Simon Ellis,,
I'm No Dummy,2009,"99, 35","Explores and examines the world of ventriloquism through clips, photos and interviews with many of the greatest vents from today and yesterday, illustrating that this perceived novelty act is truly an extraordinary art form.",en,https://image.tmdb.org/t/p/w500/r7BpOT4qHuJ95wyXf67BQ4GEpJw.jpg,4.8,Bryan W. Simon,,
The Boys Are Back,2009,18,"When the wife of sports-writer Joe Warr dies of cancer, he takes on the responsibility of raising their 6-year-old son, and his teenage son from a previous marriage. As Joe rejects the counsel of his mother-in-law and other parents, he develops his own philosophies on parenting.",en,https://image.tmdb.org/t/p/w500/6sIPtMC5GxLrsSXgdMHXJf8X4qV.jpg,6.299,Scott Hicks,"Australian Film Finance Corporation, BBC Film, Hopscotch Productions, Screen Australia, Southern Light Films, Tiger Aspect, South Australian Film Corporation",
Disappearing In America,2009,53,Disappearing In America is a 2009 character drama written by David Polcyn and Erik Rodgers and produced by String And A Can Productions in association with Damian Collier (as Damian Collier Entertainment). It debuted at the 2008 Newport Beach Film Festival and was released in July 2009 on DVD by Anthem Pictures,en,N/A,3,Erik Rodgers,,
Legend of the Bog,2009,"18, 27, 53","When the dead start to mysteriously re-animate from an ancient bog an eccentric hunter, embarks on a crusade to hunt down the forsaken beasts. But when a ferocious Bog Man emerges from the murk, a powerful and ancient evil is released and the Hunter becomes the hunted.",en,https://image.tmdb.org/t/p/w500/x4yZ0y1ZFy1wGT3xdoUuU1x1Tqf.jpg,2.8,Brendan Foley,Bog Body Films,
Precious,2009,18,"Set in Harlem in 1987, Claireece ""Precious"" Jones is a 16-year-old African American girl born into a life no one would want. She's pregnant for the second time by her absent father; at home, she must wait hand and foot on her mother, an angry woman who abuses her emotionally and physically. School is chaotic and Precious has reached the ninth grade with good marks and a secret; She can't read.",en,https://image.tmdb.org/t/p/w500/d4ltLIDbvZskSwbzXqi0Hfv5ma4.jpg,7.319,Lee Daniels,"Smokewood Entertainment Group, Lee Daniels Entertainment",
Brother's War,2009,"28, 18","The story is set in the latter days of World War 2, against the backdrop of fierce combat on the eastern front. Brother's War is based on real events.",en,https://image.tmdb.org/t/p/w500/7GsFIJz0eBToITGwobzPdMZOMXV.jpg,4.2,Jerry Buteyn,Almighty Dog Productions,
Second Coming,2009,"27, 53, 28, 18","Growing up as identical twin sisters, Lora and Ashley Gerritson always had a special psychic bond. When one would feel pain, sorrow or happiness, the other felt it too. Lora's life is suddenly changed when she begins to receive chilling visions from her sister, Ashley. Something is horribly wrong...she can feel it.",en,https://image.tmdb.org/t/p/w500/bxuwATxiBmSqWh0UZPkNtWPanwc.jpg,2.7,Jose Zambrano Cassella,Yacaman Productions,
Otis E.,2009,,"After spending nearly 15 years in solitary confinement, Otis is released back into society. Under the supervision of Los Angeles County Probation Officer, John Anderson, he moves into a transitional facility where his re-assimilation can be monitored. Otis attempts to start a new life but the past is too enticing. The decisions he makes eventually leads him to a final confrontation between Otis, the law and destiny.",en,https://image.tmdb.org/t/p/w500/uoOuisnisOPvhewNZHJ5fJEApmT.jpg,0,Jeff Daniel Phillips,,
Transylmania,2009,"35, 27","Spoof horror in which a group of college kids do a semester abroad in Romania and realise that if the partying doesn't kill them, the vampires just might!",en,https://image.tmdb.org/t/p/w500/qup755rk1zDeNmQrYOJg3B45ik.jpg,4.3,David Hillenbrand,"Full Circle Releasing, Hill & Brand Entertainment, Lifeworks Entertainment, Voltage Pictures",
Arthur and the Revenge of Maltazard,2009,"12, 14, 16, 10751","Arthur answers a distress call from Princess Selenia, who is menaced by the nefarious Maltazard.",fr,https://image.tmdb.org/t/p/w500/rHCL0HwlQvU01TLRRHZFlvsVEqt.jpg,5.7,Luc Besson,"Apipoulaï Productions, Avalanche Productions, Sofica EuropaCorp, EuropaCorp, Canal+, TF1 Films Production",
Charlie Haden: Rambling Boy,2009,99,"Throughout his career, Haden has constantly sought to transcend the boundaries of modern music. Widely considered to be among the greatest ever jazz bassists, Haden has contributed pivotal music to a stunning scope of genres: avant-garde, small group, big band, world music, folk and gospel, to name but a few.  From the get-go it was clear for both director and subject that the film had to go beyond the generic filmed music story: an intimate look at the music and life of one of Jazz’ most inspiring and influential musicians. With access to Haden’s own personal archive, film sequences shot during concerts and recording sessions, interviews with an incredible  selection of friends and collaborators and great archival footage, the documentary will please diehard jazz fans as well as the newly initiated.",en,https://image.tmdb.org/t/p/w500/ebGaS8lnhE8klt8RZSepYAoapJI.jpg,7,Reto Caduff,PiXiU Films,
Call Back,2009,"27, 53","After trying to seduce a naïve young actress, an overly cocky young horror director has the tables turned on him when the actress and her girlfriend restrain him and proceed to torture him in the same manner he had tortured people in the film that made him famous.",en,https://image.tmdb.org/t/p/w500/3JVB7Z3wEeh7nWdXRXrMS0IgsyF.jpg,2.9,Ben Ross,,
The New Daughter,2009,"27, 53","John James is a writer; his wife has left him. He moves with his two middle-school children to an isolated house off a dirt road in South Carolina. The property has an Indian burial mound, which fascinates his daughter, Louisa, who's entering puberty.",en,https://image.tmdb.org/t/p/w500/y2dAEmo6j8U5TtGT3iagckZQZNE.jpg,5.27,Luiso Berdejo,"New Daughter Productions, Gold Circle Films",
The Vintner's Luck,2009,"14, 18, 10749","A fantasy romance set in 19th century France. The film revolves around Sobran, a young peasant winemaker, and the three important figures in his life - his beautiful wife Celeste, baroness Aurora de Valday and an angel named Xas.",en,https://image.tmdb.org/t/p/w500/lClnorCQdh3sh4ZKNT4Nz9hG5nl.jpg,4.6,Niki Caro,"Ascension Pictures, Acajou Films, Kortex Production, New Zealand Film Commission, New Zealand Film Production Fund, Motion Investment Group, OLC / Rights Entertainment, Birka Holding, Les Films 2 Cinema, NZ on Air",
Off the Ledge,2009,35,"Sex, drugs and suicidal tendencies... HAPPY NEW YEAR! This ensemble driven dramedy revolves around an eccentric New Years Eve Party, where the Party-Goers are oblivious to the true atmosphere of pain amid the celebration of ""life"".",en,https://image.tmdb.org/t/p/w500/3chhRXMkvujJvOINhHKCMGXgkyU.jpg,3,Brooke Anderson,,
So Close,2009,,Strangers in a waiting room become the characters in Claire's recounting of her troubled life and the secrets of a turbulant marriage.,en,N/A,0,Rob Fruchtman,,
Big River Man,2009,99,"Follows Martin Strel as he attempts to cover 3,375 miles of the Amazon River in what is being billed as the world's longest swim.",en,https://image.tmdb.org/t/p/w500/mXZCU1Pg4nWnPZuRVOKkFIVt5v5.jpg,6.8,John Maringouin,Lightshow pictures,
Nine Dead,2010,"80, 27, 9648",Communication is the key to the survival for nine strangers who have been kidnapped by a masked gunman and told that one of them will die every ten minutes until they discover how they are all connected. Who of the nine lives and who dies?,en,https://image.tmdb.org/t/p/w500/3zAYW3q6gawnV68XdXtkBNBgUEX.jpg,5.219,Chris Shadley,"Louisiana Media Productions, Hartbreak Films",
The Calling,2013,99,"Transporting viewers to distant lands and into deep regions of the human soul, THE CALLING presents candid portraits of three people drawn to Catholic religious life. We witness how they and their families embrace the challenges and blessings this special vocation entails. A film about hard choices and having the faith to make them, providing a glimpse into the nature of belief, the bonds of family, and our eternal quest to discover: Who am I?",en,https://image.tmdb.org/t/p/w500/5C9LhGOYGdoylnpFeG9BQizhefq.jpg,0,David Ranghelli,,
The Black Waters of Echo's Pond,2010,"27, 53","Nine friends take a holiday at a Victorian home on a private island and uncover a game that when played brings out the worst in each of them. Jealously, greed, hatred, lust, all of the things they keep buried deep inside themselves rise to the surface and come to a boil.",en,https://image.tmdb.org/t/p/w500/wRnXoeGfgMtASlz0iZ0ko7idie7.jpg,4.2,Gabriel Bologna,Project 8 Films,
Wake,2009,"35, 18, 10749","When things get tough for offbeat Carys Reitman, she does what any emotionally isolated, modern girl would do - she goes to strangers' funerals...",en,https://image.tmdb.org/t/p/w500/4QgPZpf8GIJOqzCqvIGvNyZxEU2.jpg,5.1,Ellie Kanner,,
Winter of Frozen Dreams,2009,"80, 18, 36, 53",Barbara Hoffman is a University of Wisconsin science student. She is a part-time employee at a local massage parlor. She is also a killer. Now all Detective Lulling has to do is prove it.,en,https://image.tmdb.org/t/p/w500/j88NAnCCKJFNiVg1DaJkfJ8mQEI.jpg,4.6,Eric Mandelbaum,,
The Canyon,2009,53,A survival story about a honeymooning couple who get lost in the wide expanse of the Grand Canyon.,en,https://image.tmdb.org/t/p/w500/tKqqIuCCOCbjze3LzoP3Oxt84rI.jpg,5.6,Richard Harrah,"Pierce-Williams Entertainment, Zero Gravity Management",
You,2009,"18, 10749","You is a love story. It spans 21 years, bouncing around in time, creating a kind of family quilt that wraps around a father as he struggles to overcome the grief of losing his beloved wife and raise their daughter alone. A coming-of-age journey for both the father and his daughter, You is filled with the magic of life and love and family.",en,N/A,7.2,Melora Hardin,,
Reclaiming the Blade,2009,99,"The Medieval and Renaissance blade, a profound and beautiful object handcrafted by master artisans of old. An object of great complexity, yet one with a singular use in mind- it is designed to kill. The truth of the sword has been shrouded in antiquity, and the Renaissance martial arts that brought it to being are long forgotten. The ancient practitioners lent us all they knew through their manuscripts. As gunslingers of the Renaissance they were western heroes with swords, and they lived and died by them. Yet today their history remains cloaked under a shadow of legend.",en,https://image.tmdb.org/t/p/w500/8Tr8EtQtAOnJ0m1tdjd01OQo4QI.jpg,5.9,Daniel McNicoll,Galatia Films,
Love at the Twilight Motel,2009,,"Documentary about love motels in Miami's Little Havana. Guests deal with infidelity, addiction, and prostitution. The film is a candid &amp; compassionate commentary on love, loss and the human condition.",en,N/A,1,Alison Rose,,
Cabin Fever 2: Spring Fever,2009,27,A high school prom faces a deadly threat: a flesh-eating virus that spreads via a popular brand of bottled water.,en,https://image.tmdb.org/t/p/w500/RmQpuArPv71IuDLn8CP710fNgk.jpg,4.5,Ti West,"Morningstar Films, Carr Miller Entertainment, Tonic Films, Wingman Productions, Tunnel Post, Proud Mary Entertainment, Aloe Entertainment",
Kick Me Down,2009,,"Percy Crease is in love with his brother's wife. Now he must win her heart before his brother tears his out. Returning home to his family's run down motel for his step-father's funeral, Percy Crease is suddenly reunited with Karen, an old flame now married to his step-brother. Caught between his brother's rage, his mother's neglect, and his never ending love for Karen, Percy must now face his demons and find a way to win Karen's heart before his brother rips his out. ""Kick Me Down"" is a dark and disturbing comedy about a highly dysfunctional family on the verge of destruction.",en,https://image.tmdb.org/t/p/w500/FDxmtXe75cGsFxQOcXi3Jch31I.jpg,0,Matthew Bennett,,
The Young Victoria,2009,"18, 36, 10749","As the only legitimate heir of England's King William, teenage Victoria gets caught up in the political machinations of her own family. Victoria's mother wants her to sign a regency order, while her Belgian uncle schemes to arrange a marriage between the future monarch and Prince Albert, the man who will become the love of her life.",en,https://image.tmdb.org/t/p/w500/iGyuReyij3bPCtzJdSjTR8PR0pa.jpg,7.2,Jean-Marc Vallée,"GK Films, Mandate International, Sikelia Productions",
The International,2009,"28, 53, 18, 80","An interpol agent and an attorney are determined to bring one of the world's most powerful banks to justice. Uncovering money laundering, arms trading, and conspiracy to destabilize world governments, their investigation takes them from Berlin, Milan, New York and Istanbul. Finding themselves in a chase across the globe, their relentless tenacity puts their own lives at risk.",en,https://image.tmdb.org/t/p/w500/2r8qgOaBy6EiKbKRLwurjmHIgFs.jpg,6.246,Tom Tykwer,"Studio Babelsberg, Atlas Entertainment, Mosaic Media Group, X Filme Creative Pool, Columbia Pictures",
Redland,2009,"37, 18","As a family struggles to survive in rural isolation during the Great Depression, their daughter's secret affair begins a journey into the unknown.",en,N/A,7,Asiel Norton,Zyzak Film Company,
Sacred Game,2009,"53, 27","SACRED GAME is the moment between life and death. In the midst of fleshing out his latest screenplay, Daniel decides on leaving his wife and infant son to escape for a weekend hunting expedition with his three buddies. But when the men's path crosses a traumatized woman frantically running through the forest, all their destinies are forever altered.",en,https://image.tmdb.org/t/p/w500/zmIM79wF1qt5RuA8QM9QyMV1IsV.jpg,0,Bernardo Chillindron,,
Dolan's Cadillac,2009,"80, 53","Robinson, a once peaceful, law-abiding school teacher, has turned into an obsessed vengeance machine, intent on killing the man who murdered his wife - ruthless Las Vegas mob boss James Dolan. But to do so, Robinson must infiltrate the dangerous underworld, and devise a diabolical plan that will bury Dolan once and for all.",en,https://image.tmdb.org/t/p/w500/5R9MivzBtRpZCq3amYmNjEmfChT.jpg,5.9,Jeff Beesley,"Minds Eye Entertainment, Film Bridge International, Footprint Investments, Prescience",
B-Girl,2009,"10402, 80, 18","A young female breakdancer, Angel, moves to Los Angeles after an attack by an ex-boyfriend nearly ends her dance career forever. B-Girl follows Angel through recovery and acceptance of a new life as she busts a move into the male-centric world of underground hip hop.",en,https://image.tmdb.org/t/p/w500/dKIJrcSlTH4ls9onVg86lqYpKQm.jpg,6.2,Emily Dell,Two Camels Films,
Tetro,2009,18,"Bennie travels to Buenos Aires to find his long-missing older brother, a once-promising writer who is now a remnant of his former self. Bennie's discovery of his brother's near-finished play might hold the answer to understanding their shared past and renewing their bond.",en,https://image.tmdb.org/t/p/w500/odrwsnieoyG76Yv3Qka0p93L6SI.jpg,6.749,Francis Ford Coppola,"American Zoetrope, Zoetropa Argentina, Tornasol Media, BIM Distribuzione, Castafiore Films",
Donna on Demand,2009,"53, 35","A twisted take on low-voltage celebrity and overnight ""Internet stars"" and what happens when the two cross paths. An off-kilter love triangle with a girl half his age, a disapproving string of ex-wives... And a stalker in a monkey mask.",en,N/A,2,Corbin Bernsen,"Public Media Works, Antibody Films",
Breaking Point,2009,"28, 12, 18, 53","""Breaking Point"" is a dramatic tale of corruption and self-realization, in which one man has to overcome a deep-seated conspiracy and his own lingering past in order to gain the redemption he desires.",en,https://image.tmdb.org/t/p/w500/r0TnXF7KAEzGOw4q2SBQPx6pBZF.jpg,4.7,Jeff Celentano,Evolving Productions,
Jerusalem: Center of the World,2009,"99, 36","Jerusalem: Center of the World tells the epic story of the world s most incredible city, capturing the rich mosaic of the city s Christian, Jewish and Muslim communities. Covering a sweeping history of over 4,000 years, the film explores the founding of the city; the birth and convergence of the world s three major monotheistic religions; and the key events in Jerusalem s history as described in the Hebrew and Christian Bibles, the Talmud, the Hagaddah, the Koran, and the Hadith. Highlights include: Mount Moriah, the site of the First and Second Temples; the Church of the Holy Sepulcher; the Dome of the Rock; and the Western Wall. Directed by Andrew Goldberg, and hosted by Ray Suarez (The NewsHour with Jim Lehrer), the film includes interviews with locals, top scholars and clergy.",en,https://image.tmdb.org/t/p/w500/cqrvRI99NZq1TwbvLJnhv68NaLg.jpg,7.5,Andrew Goldberg,"Oregon Public Broadcasting, Two Cats Productions",
Amores locos,2009,"10749, 18",,es,https://image.tmdb.org/t/p/w500/vQBOTMqwlBglv111uYVyYP5HZRn.jpg,5,Beda Docampo Feijóo,,
Oko ve zdi,2009,53,,cs,https://image.tmdb.org/t/p/w500/cLHOQa8ijdXmpMc8B3fGpeJ0Rs4.jpg,4.2,Miloš J. Kohout,"Magic Film, Miracle Film, ALEF Film & Media Group, Avion Film & Sound, ACE, Filmové ateliéry, Starlite Productions",
Short Cut to Hollywood,2009,35,,de,N/A,2.7,Marcus Mittermeier,Senator Film,
Solomon Kane,2009,"12, 14, 28","A nomadic 16th century warrior, condemned to hell for his brutal past, seeks redemption by renouncing violence, but finds some things are worth burning for as he fights to free a young Puritan woman from the grip of evil.",en,https://image.tmdb.org/t/p/w500/jwwVNuGRUBXcudG6wOKP9U60BzU.jpg,6.016,M.J. Bassett,"Davis Films, Czech Anglo Pictures, Wandering Star Pictures, Essential Entertainment",
A Perfect Getaway,2009,"53, 9648, 12","For their honeymoon, newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo, two disgruntled hitchhikers and Nick and Gina, two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers.",en,https://image.tmdb.org/t/p/w500/7Rf1vYvUsZlTG3xlDwsktIrKi7K.jpg,6.3,David Twohy,"Tooley Productions, Rogue, Relativity Media, QED International",
All Screwed Up,2012,"10751, 28, 35","FREAKY FRIDAY with a twist. Teenisha (Chyna Lane of PRECIOUS, CADILLAC RECORDS) is your modern geeky teen - smart, suffering from ADD, an outcast at school, and an oddity in her own home. Pete is every girl's dream - star of the sports team, confident, homecoming King, and dating the hottest girl in school. Their lives change when this jock and this science nerd switch bodies during a freak accident!",en,https://image.tmdb.org/t/p/w500/i8P8L5zh3UDj0n3VOTjqOqMLFVY.jpg,6,Neil Stephens,,
Caleb's Door,2009,53,"Caleb is an ex-marine who's drifting through life trying to find answers. He moves back to his childhood home to escape his nightmares. He finds that everything's different. His high school sweetheart is now engaged. His parish priest, to whom he always turned for support, is struggling with his own crisis of faith. And instead of getting better, the nightmares start coming true.",en,N/A,1.5,Arthur Vincie,,
Thunder Man: The Don Aronow Story,2009,99,"An insight to Don Aronow - King of Powerboats. Don Aronow born in 1927 in Brooklyn New York, left New Jersey in 1961 to relocate in Miami. From being a huge success in the construction industry, he went on the being a legend as a powerboat designer and racer. Of the World's most recognized racing boat companies, Don Aronow established five; Donzi, Formula, Magnum, Cigarette and US Racing Team. As the US and World Powerboat Champion several times over, his friends, clients, business partners, enemies and competitors were many. Designing and manufacturing powerboats for Presidents, Princes and the privileged, Aronow gained popularity with women and indeed their husbands. As businessman, Aronow applied a no questions asked policy. If the money was there, a boat would be supplied, ""I don't care who you are but I will give you the boat if you have enough cash to pay"", was a term used by Aronow. Allegedly Aronow, did business on both sides of the law.",en,https://image.tmdb.org/t/p/w500/tgNkQkZt6fQiByAi09eHmFNmSEb.jpg,0,Andrew Wainrib,,
Modus Operandi,2010,"28, 53, 80","Two briefcases with mysterious contents are stolen from top Presidential candidate Squire Parks, setting off a deadly series of double-crosses and betrayals. Desperate warring factions of subterranean organizations will stop at nothing to gain possession of the sensitive material. A covert branch of the CIA calls on notorious Black Ops agent Stanley Cashay, who has been barely existing in a semi-comatose twilight since the murder of his wife. Cashay is offered the identity of his wife’s killer in exchange for locating and returning the cases.",en,https://image.tmdb.org/t/p/w500/1HymDBGwOgH2yXjJ5KoIUzww8CJ.jpg,7.1,Frankie Latina,,
Bonded Parallels,2009,"18, 36","""The Armenian film Bonded Parallels tells two intersecting stories: a mother who gives life to a child at the cost of her own and a daughter who repeats a similar love story that once resulted in her own birth. The two ‘bonded parallel’ stories provide a close look at two different societies in entirely different time frames, and in doing that they bring unexpected similarities to the surface. On one side, there is the story of Hanna, who lives in a small village in Norway during World War II, waiting for her husband. Meanwhile, she meets Arakel, a Russian prisoner of war of Armenian origin and gives him asylum, an event that inevitably leads to a love affair. As for daughter Laura, love comes from a disobeying student. Her story takes place during the 1980s, when the demonstrations of Armenians for independence reached their climax."" - IFFR",en,https://image.tmdb.org/t/p/w500/hwMS2BdoDw64TEwS5ryWSeXPqgR.jpg,0,Hovhannes Galstyan,,
The Bridge to Nowhere,2009,"80, 18","A group of 20-something blue-collar workers in Pittsburgh cook up a scheme to make extra money that involves prostitution. Their business takes off, then gets way out of hand.",en,https://image.tmdb.org/t/p/w500/hyxMeYptVoxusFuwuT7XycVgnI9.jpg,4.2,Blair Underwood,,
Fragment,2009,"18, 53","When Lloyd, a photographer slowly dying of a brain tumor, realises the growth killing him is breathing life into the recently dead, he uses his camera lens as the conduit to reanimation. After discovering a disturbing snuff film of a beautiful naked woman being tortured and murdered, he is compelled to bring her back to life. Enchanted by her grace and charm he resurrects her night after night and gradually falls in love. However, each night Lloyd also unwittingly resurrects her killer... SHAPE.",en,https://image.tmdb.org/t/p/w500/kKPyJkCTbfaKtgtSnkGALjFcVTN.jpg,3.8,Andrew Miles,,
Creation,2009,"18, 36","A psychological, heart-wrenching love story that provides a unique and inside look at Charles Darwin. Torn between faith and science, he struggles to finish his legendary book ""On the Origin of the Species,"" which goes on to become the foundation for evolutionary biology.",en,https://image.tmdb.org/t/p/w500/vS6ne76vjRH7Z88rAqYLCcQatB4.jpg,6.439,Jon Amiel,"BBC Film, HanWay Films, Recorded Picture Company, Ocean Pictures, UK Film Council",
